66,86,1
96,31,1
58,50,1
-12,-92,1
12,-49,1
77,-63,1
-9,-72,1
89,7,1
29,59,1
13,-32,1
53,46,1
71,9,1
-1,-14,1
-78,17,-1
-20,25,-1
-71,22,-1
-72,-66,-1
-80,-60,-1
-96,-13,-1
2,97,-1
-72,-71,-1
-90,-100,-1
78,-66,1
-42,-81,1
82,3,1
24,14,1
0,-85,1
89,39,1
-84,-93,-1
39,38,1
-65,98,-1
100,78,1
38,-16,1
57,-8,1
-79,79,-1
61,-9,1
-25,14,-1
-45,-24,-1
-81,83,-1
91,-90,1
-78,-59,-1
-22,25,-1
55,37,1
-55,50,-1
-20,92,-1
-82,5,-1
-45,-95,1
-20,61,-1
82,11,1
36,-35,1
86,33,1
-37,-66,-1
-14,43,-1
-43,-97,1
-25,14,-1
-29,-94,1
-4,74,-1
-12,-98,1
-36,-58,-1
7,-3,1
83,-71,1
30,46,1
93,-79,1
15,45,-1
14,-15,1
78,-63,1
57,-100,1
100,71,1
-67,-7,-1
5,-20,1
64,82,1
11,-82,1
87,-100,1
34,1,1
-70,-38,-1
83,56,1
82,13,1
-65,7,-1
-96,-13,-1
-94,74,-1
30,91,-1
69,58,1
71,3,1
-24,-63,1
-62,53,-1
-62,-70,-1
66,-55,1
57,-18,1
16,50,-1
2,-73,1
97,-66,1
13,-71,1
-98,31,-1
52,-19,1
70,34,1
11,-76,1
-33,13,-1
-53,15,-1
-28,69,-1
70,36,1
